Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
1,Atlanta Hawks,,0-3,2-2,4-0,0-2,2-0,1-3,0-2,1-1,2-2,2-0,1-1,1-1,1-3,2-2,0-2,1-3,2-2,1-3,2-1,3-1,0-2,0-2,1-1,1-1,1-1,1-3,1-1,2-2
2,Boston Celtics,3-0,,2-2,4-0,0-2,1-1,2-2,1-1,0-2,2-2,2-0,1-1,2-0,2-2,1-2,2-0,1-3,3-1,4-0,3-2,2-2,0-2,1-1,0-2,0-2,2-0,1-2,1-1,1-3
3,Chicago Bulls,2-2,2-2,,3-1,0-2,1-1,0-4,1-1,1-1,2-2,0-2,1-1,1-1,1-2,2-2,0-2,2-2,1-3,2-1,1-3,1-3,1-1,1-1,0-2,0-2,0-2,2-2,1-1,1-3
4,Cleveland Cavaliers,0-4,0-4,1-3,,0-2,1-1,0-4,1-1,1-1,0-4,2-0,1-1,0-2,1-2,0-4,0-2,2-2,1-3,1-2,0-4,0-4,0-2,0-2,0-2,0-2,1-1,3-1,1-1,0-4
5,Dallas Mavericks,2-0,2-0,2-0,2-0,,4-0,2-0,4-0,4-0,1-1,4-0,1-3,4-0,2-0,0-2,2-2,2-0,2-0,2-0,1-1,2-0,2-2,2-2,1-3,2-2,2-2,2-0,2-2,2-0
6,Denver Nuggets,0-2,1-1,1-1,1-1,0-4,,0-2,0-4,0-4,1-1,1-3,0-4,2-2,2-0,1-1,0-4,0-2,0-2,0-2,0-2,0-2,1-3,2-2,0-4,1-3,1-3,1-1,0-4,1-1
7,Detroit Pistons,3-1,2-2,4-0,4-0,0-2,2-0,,1-1,2-0,2-2,1-1,1-1,2-0,3-1,1-3,1-1,2-1,2-2,2-2,2-1,2-2,1-1,0-2,1-1,0-2,1-1,3-1,2-0,3-1
8,Golden State Warriors,2-0,1-1,1-1,1-1,0-4,4-0,1-1,,1-3,1-1,2-2,2-2,2-2,1-1,0-2,1-3,1-1,1-1,2-0,1-1,2-0,2-2,0-4,0-4,1-3,2-2,2-0,2-2,2-0
9,Houston Rockets,1-1,2-0,1-1,1-1,0-4,4-0,0-2,3-1,,1-1,2-2,2-2,3-1,1-1,1-1,2-2,1-1,1-1,0-2,2-0,2-0,3-1,1-3,2-2,1-3,2-2,2-0,1-3,1-1
10,Indiana Pacers,2-2,2-2,2-2,4-0,1-1,1-1,2-2,1-1,1-1,,2-0,0-2,1-1,4-0,3-1,2-0,1-2,3-1,3-1,2-1,2-2,1-1,0-2,0-2,0-2,2-0,3-1,1-1,2-2
11,Los Angeles Clippers,0-2,0-2,2-0,0-2,0-4,3-1,1-1,2-2,2-2,0-2,,0-4,2-2,2-0,1-1,1-3,1-1,1-1,1-1,1-1,0-2,1-3,1-3,1-3,1-3,1-3,1-1,1-3,0-2
12,Los Angeles Lakers,1-1,1-1,1-1,1-1,3-1,4-0,1-1,2-2,2-2,2-0,4-0,,4-0,1-1,2-0,2-2,0-2,1-1,1-1,1-1,1-1,3-1,2-2,2-2,0-4,2-2,2-0,3-1,1-1
13,Memphis Grizzlies,1-1,0-2,1-1,2-0,0-4,2-2,0-2,2-2,1-3,1-1,2-2,0-4,,2-0,2-0,0-4,1-1,1-1,1-1,2-0,0-2,1-3,1-3,0-4,1-3,1-3,1-1,1-3,1-1
14,Miami Heat,3-1,2-2,2-1,2-1,0-2,0-2,1-3,1-1,1-1,0-4,0-2,1-1,0-2,,1-3,1-1,0-4,0-4,2-2,0-4,0-4,2-0,0-2,1-1,0-2,0-2,4-0,0-2,1-3
